CustomerID,CustomerName,Industry,RegionID,Employees
100001,Kunde 1,IT,2,1204
100002,Kunde 2,Automotive,3,485
100003,Kunde 3,Medizintechnik,7,983
100004,Kunde 4,Logistik,10,998
100005,Kunde 5,Logistik,5,1382
100006,Kunde 6,Maschinenbau,5,1562
100007,Kunde 7,IT,9,211
100008,Kunde 8,Chemie,7,24
100009,Kunde 9,IT,10,130
100010,Kunde 10,Energie,6,549
100011,Kunde 11,Dienstleistung,10,1544
100012,Kunde 12,Automotive,5,1961
100013,Kunde 13,Automotive,7,19
100014,Kunde 14,IT,4,1367
100015,Kunde 15,Logistik,7,1197
100016,Kunde 16,Logistik,9,1621
100017,Kunde 17,Chemie,9,90
100018,Kunde 18,Energie,8,203
100019,Kunde 19,Automotive,3,437
100020,Kunde 20,Chemie,6,1074
100021,Kunde 21,Logistik,9,1626
100022,Kunde 22,Chemie,9,19
100023,Kunde 23,Dienstleistung,8,774
100024,Kunde 24,Logistik,5,1239
100025,Kunde 25,Handel,5,1070
100026,Kunde 26,Energie,10,1975
100027,Kunde 27,Medizintechnik,6,1564
100028,Kunde 28,Automotive,7,549
100029,Kunde 29,Maschinenbau,3,1913
100030,Kunde 30,Dienstleistung,2,1000
100031,Kunde 31,Bauwesen,4,974
100032,Kunde 32,Medizintechnik,8,1555
100033,Kunde 33,Maschinenbau,3,695
100034,Kunde 34,Logistik,2,1242
100035,Kunde 35,Bauwesen,4,884
100036,Kunde 36,IT,9,694
100037,Kunde 37,IT,7,764
100038,Kunde 38,Dienstleistung,6,1401
100039,Kunde 39,IT,9,1828
100040,Kunde 40,Bauwesen,10,707
100041,Kunde 41,Bauwesen,1,650
100042,Kunde 42,Energie,3,1677
100043,Kunde 43,Medizintechnik,7,495
100044,Kunde 44,Automotive,1,1932
100045,Kunde 45,Handel,2,744
100046,Kunde 46,Chemie,3,1367
100047,Kunde 47,IT,8,821
100048,Kunde 48,Dienstleistung,10,780
100049,Kunde 49,IT,7,1255
100050,Kunde 50,Chemie,2,122
100051,Kunde 51,Medizintechnik,2,734
100052,Kunde 52,Energie,5,1793
100053,Kunde 53,Bauwesen,4,681
100054,Kunde 54,Energie,6,1656
100055,Kunde 55,Logistik,2,210
100056,Kunde 56,IT,10,11
100057,Kunde 57,Automotive,1,940
100058,Kunde 58,Logistik,7,1787
100059,Kunde 59,Medizintechnik,7,1435
100060,Kunde 60,IT,10,827
100061,Kunde 61,Logistik,9,1490
100062,Kunde 62,IT,5,1715
100063,Kunde 63,Dienstleistung,10,1823
100064,Kunde 64,Medizintechnik,1,1899
100065,Kunde 65,Handel,3,289
100066,Kunde 66,Bauwesen,8,57
100067,Kunde 67,Maschinenbau,8,1237
100068,Kunde 68,Bauwesen,1,256
100069,Kunde 69,Bauwesen,4,1784
100070,Kunde 70,Logistik,9,1091
100071,Kunde 71,Medizintechnik,5,577
100072,Kunde 72,IT,4,1952
100073,Kunde 73,Energie,1,1437
100074,Kunde 74,Maschinenbau,10,1543
100075,Kunde 75,Chemie,9,1674
100076,Kunde 76,Logistik,9,514
100077,Kunde 77,Maschinenbau,4,759
100078,Kunde 78,Handel,10,930
100079,Kunde 79,Dienstleistung,3,1271
100080,Kunde 80,Medizintechnik,1,1410
100081,Kunde 81,Chemie,6,1354
100082,Kunde 82,Logistik,4,1786
100083,Kunde 83,Bauwesen,1,978
100084,Kunde 84,Automotive,3,1059
100085,Kunde 85,Logistik,2,851
100086,Kunde 86,Automotive,5,1357
